,DalScience,DalLibraries,Dal_Alumni,DalGazette
633,"{'date': '03/23/2018, 00:16:57', 'full_text': 'RT @CoastalSEASIDE: #ScientistsWhoSelfie are also #StudentsWhoScience! Shared photos from students in #BIOL3301#InvertebrateBiology @DalSci…'}","{'date': '11/26/2018, 16:40:07', 'full_text': 'This Friday marks the final session in out our great new Scholarship @ Dal Libraries webinar series. Join us to learn all about research data management. Sign up here: https://t.co/BntsnBt6pA'}","{'date': '12/07/2018, 19:07:02', 'full_text': 'RT @FSPAdirector: Thrilled that I was finally able to witness a performance of this epic piece! Proud of these two brilliant @Dal_Alumni an…'}","{'date': '09/25/2019, 21:31:23', 'full_text': '@karlarenic Motion put forward to appoint an Indigenous student rep. Seconded by Yusuf. All in favour.'}"
634,"{'date': '03/22/2018, 22:01:38', 'full_text': 'RT @OceanTracking: .@AtlanticSharks Manuel Dureuil spoke at @Dalnews today on the Cabo Verde Research &amp; Conservation Project w/ preliminary…'}","{'date': '11/26/2018, 14:45:04', 'full_text': 'https://t.co/2geRENls38'}","{'date': '12/07/2018, 19:06:19', 'full_text': 'RT @DalPres: Huge congratulations and thanks to all who helped us celebrate Dal’s 200th Anniversary! Particularly AVP @CBagnellStyles for c…'}","{'date': '09/25/2019, 21:20:40', 'full_text': ""@karlarenic Chair says they were struggling with putting the minutes up from the Sept 11 meeting. The minutes will be sent out after today's meeting.""}"
635,"{'date': '03/22/2018, 00:57:34', 'full_text': 'RT @cathmckenna: Calling all youth from 18-25! We want to hear your ideas about how to better protect our oceans! Winners get a trip to the…'}","{'date': '11/23/2018, 15:05:07', 'full_text': 'Night owl? Early Bird? Whatever your study style, we’ve got you covered with Night Owls (open till 3 a.m. Sundays–Thursdays) and Early Birds (open at 8 a.m. Saturdays &amp; Sundays) leading up to exams at the Killam Library and the Kellogg Library Learning Commons. https://t.co/oFJl3SXWG5'}","{'date': '12/07/2018, 19:01:03', 'full_text': '#Dal200 brought together decades of #DalGrads! Thanks to all of our alumni who came out to celebrate with us this year, and to these folks who represented their decade today! https://t.co/7vxi6w9I91'}","{'date': '09/25/2019, 21:10:31', 'full_text': '@karlarenic DSU President Aisha sends her regrets'}"
636,"{'date': '03/22/2018, 00:03:38', 'full_text': 'Karolyn is one of six @dalsite Top Co-op Student Award recipients. Congratulations to everyone! Learn more: https://t.co/3LOFUdwYq0 https://t.co/8HderjUUqf'}","{'date': '11/23/2018, 12:45:04', 'full_text': 'https://t.co/6DveqAqWhT'}","{'date': '12/07/2018, 18:57:02', 'full_text': 'We must say #DalhousieU has some talented vocalists! https://t.co/jytSSt4zkv'}","{'date': '09/25/2019, 21:09:30', 'full_text': ""Hey! @karlarenic here to live tweet today's DSU Council meeting.""}"
637,"{'date': '03/21/2018, 23:47:59', 'full_text': 'This one is ready for the workforce &amp; she hasn’t even crossed the stage yet. Karolyn has gained work experience in 3 co-ops: 1. a scientific field research team 2. a private global manufacturer of seaweed products 3. a medical research lab @IWKHealthCentre / @DalMedSchool. https://t.co/6yhhKs1kaa'}","{'date': '11/21/2018, 14:46:46', 'full_text': 'Thank you! @dbournetyson https://t.co/Q3y5LclNW3'}","{'date': '12/07/2018, 18:38:09', 'full_text': ""The Bing Sing led the room in a lively rendition of Don't Stop by Fleetwood Mac. https://t.co/a4OwuWnm16""}","{'date': '09/25/2019, 19:03:31', 'full_text': 'RT @CFTour2019: David Suzuki on the Youth Climate Strike movement. Fantastic piece by Madeline Tang for the Dalhousie Gazette. https://t.co…'}"
638,"{'date': '03/21/2018, 12:35:53', 'full_text': 'ICYMI https://t.co/5Dn1oo7SUE'}","{'date': '11/21/2018, 13:57:31', 'full_text': 'https://t.co/HY6i8kbhxd'}","{'date': '12/07/2018, 16:23:17', 'full_text': ""What a crowd gathered here today to celebrate the fun-filled year of Dalhousie's 200th anniversary! https://t.co/SDUNX6yyhv""}","{'date': '09/25/2019, 14:11:40', 'full_text': 'RT @HfxIsBurning: How do the professionals say it? [checks notes]. \nOh yes. Some personal news...\n\nRead the full statement here: https://t.…'}"
639,"{'date': '03/21/2018, 01:14:02', 'full_text': 'RT @drtightline: Great @scienceatlantic group photo from @Dalnews students who presented research at #SAEC2018 on corals, catchment liming,…'}","{'date': '11/21/2018, 11:59:11', 'full_text': 'Yesterday was the Transgender Day of Remembrance. The Sir James Dunn Law Library prepared a display to mark the occasion. @SchulichLaw https://t.co/3hYOZMQdpL'}","{'date': '12/07/2018, 16:19:08', 'full_text': 'RT @DalPres: Crowd gathering for our #Dal200 wrap party! Join us now in LeMarchant Place atrium. https://t.co/m0W1IHx5la'}","{'date': '09/25/2019, 12:05:52', 'full_text': '“For the program to run, you have to have people that are dedicated. I was dedicated. It was the love of my life.” https://t.co/rq3EIAHl8r'}"
640,"{'date': '03/21/2018, 01:12:08', 'full_text': 'RT @Dal_Alumni: Congratulations to @CourtneyLarkin (BMgmt’10) and Jonathan Wilson (BSc’05) on the arrival of their tiny Tiger, Reid Cole Wi…'}","{'date': '11/20/2018, 18:10:08', 'full_text': 'https://t.co/JHkCje4sfS'}","{'date': '12/07/2018, 14:40:13', 'full_text': 'Getting ready for the holidays? Remember these tips from affinity program partner @TD_Insurance to help protect your home or condo. #ad ► https://t.co/HbQnMZxKO6 https://t.co/0e8h5YlTAw'}","{'date': '09/25/2019, 12:01:17', 'full_text': ""RT @HalifaxToday: Post-secondary schools giving 'academic amnesty' on Friday for Halifax climate strike https://t.co/Ju2iKyioxy https://t.c…""}"
641,"{'date': '03/21/2018, 01:10:58', 'full_text': 'RT @Dalnews: Celebrate the first day of spring with a stroll around Studley campus! This 1925 photo shows Margaret King, Marion Campbell, R…'}","{'date': '11/20/2018, 15:40:04', 'full_text': 'https://t.co/fdUfUCJtjd'}","{'date': '12/07/2018, 12:48:51', 'full_text': '#DalAlumni what songs got you through your exam times at Dal? https://t.co/jswRRTjzJ3'}","{'date': '09/24/2019, 22:32:14', 'full_text': 'RT @elamin88: RIP your attention span https://t.co/p8Y9PYPFJO'}"
642,"{'date': '03/19/2018, 00:05:33', 'full_text': 'RT @Dalhousie_iGEM: The whole crew!! So nice to welcome the new 2018 #iGEM team! Good convos about possible new projects 🤔💭👨\u200d🔬👩\u200d🔬 and how t…'}","{'date': '11/20/2018, 13:14:39', 'full_text': ""We're so pleased to welcome Morning Star Padilla, the new Indigenous Services Librarian, to the @DalLibrarieshttp://ow.ly/VPbw30mGuY6""}","{'date': '12/06/2018, 18:04:34', 'full_text': 'RT @Dalnews: #OnThisDay in 1917, #Halifax was devastated by the Halifax Explosion. #DalhousieU was mostly spared, aside from damage to wind…'}","{'date': '09/24/2019, 19:53:33', 'full_text': '“The reason students are so important, is that this issue is going to reverberate through their entire lives.” \nhttps://t.co/juylNLIz5t'}"
643,"{'date': '03/18/2018, 14:20:49', 'full_text': 'RT @ConceptsChemDal: Our team of first year chemistry student ‘TAs’ are ready to meet some prospective high school students at today’s @Dal…'}","{'date': '11/19/2018, 19:01:53', 'full_text': ""Are you a night owl? You're in luck, the Killam and Kellogg (CHEB location) have moved to Night Owls hours and we're open till 3 a.m. leading up to exams. https://t.co/KqbT2US9U7""}","{'date': '12/06/2018, 17:35:09', 'full_text': ""Meet this week's Dalhousie Original, Art McDonald. His illustrious career in astrophysics has led to incredible scientific breakthroughs and a Nobel Prize in Physics. #Dal200 \nhttps://t.co/mX3jgFhuOY https://t.co/d5FaZs9RBc""}","{'date': '09/24/2019, 13:06:12', 'full_text': '“Such maneuvering will only have harrowing effects on social stigma, mental health and the very lives of students.” https://t.co/f3dOm2VXZ8'}"
644,"{'date': '03/18/2018, 14:19:06', 'full_text': 'RT @drtightline: Lauren Ballentyne presenting her UG research on often-ignored soft corals @DalScience #saec2018 https://t.co/r6pStd1h1k'}","{'date': '11/19/2018, 18:48:26', 'full_text': ""We're launching our first-ever open textbook by the renowned conservation biologist Bill Freedman (1950-2015). Join us for the launch event. https://t.co/yM4Z3bJkUk https://t.co/X4L5732Lla""}","{'date': '12/06/2018, 17:00:21', 'full_text': ""We're overwhelmed by the generous support of the annual holiday dinner for international and out-of-town students! With just 9 days left in the campaign, your contribution will help ensure the future of this event for years to come. Learn more or donate: https://t.co/tvPPFBjdEN https://t.co/yT6O2A1jWG""}","{'date': '09/24/2019, 00:36:38', 'full_text': 'The way technology is used in The Matrix delivers a message about the internet age that is as relevant today as it was back in 1999, writes Alex Rincon. https://t.co/tj25r9ebgG'}"
645,"{'date': '03/17/2018, 15:30:35', 'full_text': '@iamscicomm The connections between art &amp; science are fascinating. @lidgardphoto is a photographer capturing scenes of wild horses &amp; seals on Sable Island where he does research, Erik Demaine at @MIT makes origami sculptures w/ math + comp sci, &amp; we like to celebrate with a #scienceasart cal https://t.co/t2pFLMFb5V'}","{'date': '11/19/2018, 16:35:08', 'full_text': ""Check out our great new Scholarship @ Dal Libraries webinar series. This Friday's topic is about copyright and author rights and an upcoming session is on research data management. Sign up for one (or both!) today. https://t.co/nLxYcm89yR""}","{'date': '12/06/2018, 12:20:47', 'full_text': ""RT @FSPAdirector: @FSPADal @DAL_FASS @Dal_Alumni @jdutchermusic has earned a spot in National Public Radio's Best Albums of 2018! https://t…""}","{'date': '09/23/2019, 17:42:36', 'full_text': 'RT @rrseidler: Students + young lawyers: just one week left to submit your paper to the Dal Journal of Legal Studies. Courts in 6 provinces…'}"
646,"{'date': '03/17/2018, 14:54:54', 'full_text': 'The @scienceatlantic conference on Environment is this weekend @MountAllison. Students from Atl. universities share their undergrad research &amp; continue to impress us all @AcadiaU @MemorialU @stfxuniversity @UPEI @UNB @MSVU_Halifax @smuhalifax https://t.co/MXR3WbUXuC'}","{'date': '11/19/2018, 14:30:14', 'full_text': 'https://t.co/R4RjdeYdD1'}","{'date': '12/05/2018, 18:20:16', 'full_text': 'Atlantic Throwdown, the MBA Games &amp; the new collaborative competition hosted by the Commerce &amp; MBA Society, would not be possible without your support! Help continue experiential learning opportunities for @DalManagement students! #ProjectDAL #DalhousieU https://t.co/ClzEbdSdNo https://t.co/3evFI5APp0'}","{'date': '09/23/2019, 17:36:59', 'full_text': ""@_hannahbing Also, a piece from last February by yours truly (@BDingz) about the significance of David Rose from Schitt's Creek for bi and pan people https://t.co/iXXUaq2owV""}"
647,"{'date': '03/16/2018, 19:34:03', 'full_text': 'RT @DalGradStudies: Graduate students: Have your say about what research and innovation at Dal should look like in the future. Take part in…'}","{'date': '11/19/2018, 13:10:04', 'full_text': 'https://t.co/q0lGf5X9G4'}","{'date': '12/05/2018, 14:22:18', 'full_text': 'RT @MEOPAR_NCE: Watch our Scientific Director, Dr. Doug Wallace (@cercocean) speak about his exciting experience at @BlueEconomy2018 in Nai…'}","{'date': '09/23/2019, 17:28:21', 'full_text': ""Happy #BiVisibilityDay! Here's a piece from our archives by @_hannahbing https://t.co/KVEn3gFFxC""}"
648,"{'date': '03/16/2018, 19:30:19', 'full_text': 'A lot of hands to help @MyFutureisDal Preview Days visitors enjoy their last activity today. We appreciate the time you &amp; your families took to learn more about our programs, opportunities &amp; community. Thanks for considering us in your university decision. Good luck! 💫 https://t.co/x3zLnQxfJ3'}","{'date': '11/16/2018, 16:05:05', 'full_text': 'Approaching your thesis deadline? Check out our Grad Students and Copyright FAQ here: https://t.co/yUhy2xuWCl  #dalcopyright #copyright #DalhousieU'}","{'date': '12/05/2018, 12:50:11', 'full_text': ""Do you have a new life or career update? Share a class note to let your classmates know what you've been up to!\nLet us know here: https://t.co/4q7jFp4tf5 https://t.co/6Wc2e176Gq""}","{'date': '09/23/2019, 17:08:37', 'full_text': 'RT @DalBSAC: Our Black Student Orientation that happened on August 29th was a huge success! #DalBSAC @DalGazette \nhttps://t.co/3oJXSkikY9'}"
649,"{'date': '03/16/2018, 14:19:09', 'full_text': 'We’ve got a packed room of eager future scientists experiencing what it’s like to be a science student at #DalhousieU. Medical Sciences’ @sarahwellsDal explains the math, chemistry &amp; physics of the human body and fascinating applications of science in medicine. @MyFutureisDal https://t.co/t0TDKk1ruo'}","{'date': '11/15/2018, 14:09:41', 'full_text': 'Fantastic turnout at today’s Indigneous Knowledge and Access Symposium.  Thank you to Elder Geri Musqua-LeBlanc for the blessing and to Elder Albert Marshall and Cheryl Bartlett for the keynote. @dalsimnews @dbournetyson @LibraryArchives\n@DalLibraries: https://t.co/KOe0aJdmm6'}","{'date': '12/04/2018, 14:40:14', 'full_text': ""Car Insurance FACTS vs fiction: Affinity program partner @TD_Insurance explains what's real. #ad ► https://t.co/fyn7wQTv6m https://t.co/ehK2ta0bzE""}","{'date': '09/23/2019, 15:46:18', 'full_text': 'Cal DeWolfe won his first-ever marathon. It’s fine, it’s fine — we’re not jealous or anything  https://t.co/ChcYiSlUp5'}"
650,"{'date': '03/16/2018, 11:49:00', 'full_text': 'SEASIDE courses get Dal Science students out of the classroom and into the field. Sometimes the field is on the other side of the world, but that doesn’t stop us. Read about Clare’s experience in Sri Lanka: https://t.co/VFvSDObhJ4 @MyFutureisDal https://t.co/094h5Fn5bi'}","{'date': '11/14/2018, 18:40:07', 'full_text': 'https://t.co/w9YtZMkV4F'}","{'date': '12/04/2018, 14:05:56', 'full_text': 'RT @DAL_FASS: Join us on Thurs Dec 6 for a reading of the bicentennial epic poem by former Parliamentary Poet Laureate George Elliott Clark…'}","{'date': '09/23/2019, 15:43:42', 'full_text': ""Let's pretend that tweet with the typo never happened. No one saw that, right? Right. https://t.co/9GrFtFYgLG""}"
651,"{'date': '03/16/2018, 01:08:09', 'full_text': 'RT @ConceptsChemDal: Another shout out from Dr Crane who spent the evening hanging out with some phenomenal Chem 1012 students at the @DalS…'}","{'date': '11/11/2018, 14:04:50', 'full_text': 'https://t.co/4cNYEA5guG'}","{'date': '12/03/2018, 18:30:45', 'full_text': 'Visit the #ProjectDal campaign that helps Commerce and MBA societies better cater to the increasing desire of students to participate in competitions, providing the opportunity to apply their educational background! #RoweSchoolofBusiness #DalhousieU https://t.co/x4EbzOl5vh https://t.co/aaO8BpUkhk'}","{'date': '09/23/2019, 15:30:42', 'full_text': 'RT @DalStudentUnion: 🗳️ VOTE ON CAMPUS! 🗳️ The Dal Student Union Building is an advance voting location from Oct 5-9 for those looking to v…'}"
652,"{'date': '03/16/2018, 00:00:09', 'full_text': 'We’re keeping our ion this next generation of scientists! Congrats on a successful first year. https://t.co/ne6owHIJWH'}","{'date': '11/10/2018, 22:05:13', 'full_text': 'The MacRae Library will be on holiday hours Nov 11 (12-5) and closed Nov 12 for a planned power outage. We apologize for the inconvenience. @dalagriculture @memacinnis @Limpetman'}","{'date': '12/03/2018, 17:56:54', 'full_text': ""RT @dalfcs: @Dal_Alumni, @FatenAlshazly has been named Canada’s Top 100 Most Powerful Women - again! We're incredibly proud of all the amaz…""}","{'date': '09/23/2019, 15:28:03', 'full_text': 'RT @the_cadre: Conboy says working with victims of sexual violence can be difficult, but the people she works with make it worthwhile.\n\n“I…'}"
653,"{'date': '03/15/2018, 01:12:54', 'full_text': 'Community. https://t.co/FG7fN3d6zG'}","{'date': '11/10/2018, 21:58:34', 'full_text': '@DalLibraries will be on regular hours tomorrow, except for the MacRae Library, which will be on holiday hours. All our locations will be on holiday hours Monday, except for the MacRae which will be closed for a planned power outage. Hours: https://t.co/duVhpaEjSe https://t.co/41O6K3YAla'}","{'date': '12/03/2018, 14:28:41', 'full_text': 'RT @MJPalmeter: #DalhousieU students working collaboratively to develop a device for more stable wheelchairs - The RoboRAD #Innovation #Ite…'}","{'date': '09/23/2019, 15:17:01', 'full_text': '@chrisstoodley_ https://t.co/b9PgphQcuc'}"
654,"{'date': '03/14/2018, 20:54:36', 'full_text': 'RT @DALBSSC: #SecureYourCareer at the Federal Safety, Security, and Intelligence Career Fair on March 20th, 2018 @CanBorder https://t.co/3C…'}","{'date': '11/09/2018, 17:00:54', 'full_text': 'https://t.co/BCuO6eTAQo'}","{'date': '11/30/2018, 19:40:21', 'full_text': ""It's winter! Time to check out the vehicle maintenance checklist from affinity partner @TD_Insurance #ad ► https://t.co/0gkvZePKGD https://t.co/0KK4CZ7UCU""}","{'date': '09/23/2019, 12:13:17', 'full_text': '“My pain levels actually went up over the last few years and there have been times where I’ve had to stay home from classes.” https://t.co/LoqisBm6Cl'}"
655,"{'date': '03/14/2018, 17:53:51', 'full_text': 'RT @DalLibraries: Are you ready for the @esricanada #AppChallenge &amp; GIS scholarship? @JamesGIS @rapaport1010 @danielrainham @DalStudentLife…'}","{'date': '11/09/2018, 16:40:06', 'full_text': 'There is a beautiful Remembrance Day display created with materials from the Archives on the fifth floor of the Killam. https://t.co/NKJCvHTpDK'}","{'date': '11/30/2018, 15:16:33', 'full_text': ""Meet this week's Dalhousie Original, Dr. Phyllis Stern. Best known for being a strong advocate for women's health across the globe, Dr. Stern was determined to break health care barriers. #Dal200 \nhttps://t.co/roO8STZGZ6""}","{'date': '09/23/2019, 12:10:33', 'full_text': 'Tomorrow! Please come for pizza, pitches and pics ☺️ https://t.co/jUV7Q0kLqe'}"
656,"{'date': '03/14/2018, 17:53:36', 'full_text': 'RT @DalPres: “Look up at the stars and not down at your feet,” Stephen Hawking 1942-2018. \n\nInspired generations of students and scientists…'}","{'date': '11/09/2018, 14:30:16', 'full_text': 'https://t.co/j6rW9Wbwnq'}","{'date': '11/30/2018, 14:43:23', 'full_text': 'Congrats Ian, we are #DalProud! https://t.co/GTj65OxcWC'}","{'date': '09/22/2019, 17:19:13', 'full_text': 'Looking for your next read? Nelly Bateman suggests @jiatolentino’s Trick Mirror https://t.co/O6NLWXu87W'}"
657,"{'date': '03/14/2018, 16:50:01', 'full_text': 'RT @eosense: How does the change in temperatures and the characteristics of snow cover effects the #Greenhouse gas #fluxes in #agricultural…'}","{'date': '11/09/2018, 11:22:40', 'full_text': 'https://t.co/KOe0aJdmm6'}","{'date': '11/30/2018, 14:23:55', 'full_text': 'RT @Dalnews: Meet the #DalhousieU leadership team: Dr. Alice Aiken, vice-president, research and innovation. #DALinnovates (🏷: @DalVPR) htt…'}","{'date': '09/22/2019, 00:10:57', 'full_text': 'A feel-good story for your weekend 🏊\u200d♀️🏊\u200d♂️  https://t.co/HBGjQw3Zs1'}"
658,"{'date': '03/14/2018, 11:10:00', 'full_text': 'It’s Brain Awareness Week! Check out the events taking place at Dal / in Halifax this week: https://t.co/bmkr2SxVOa  @BRCHFX https://t.co/EByyD0pBXA'}","{'date': '11/08/2018, 19:15:05', 'full_text': 'https://t.co/z9yJzmWGcq'}","{'date': '11/29/2018, 19:35:51', 'full_text': ""RT @Dalnews: In November of 1955, TV's in common rooms were a hot topic at #DalhousieU! 📺 #DalArchives #Dal200 (🏷️: @DalLibraries, @DalGaze…""}","{'date': '09/21/2019, 19:12:00', 'full_text': '@rrseidler Feel free to pitch a rebuttal any time 😉'}"
659,"{'date': '03/14/2018, 02:52:05', 'full_text': 'RT @DalMarAffairs: .. and work to do to effect change. keep up the good work! https://t.co/lCJ1Ri0imb'}","{'date': '11/08/2018, 16:37:36', 'full_text': ""We're happy to welcome Guy LeLievre to the @DalLibraries https://t.co/qYC0WA2Ilt""}","{'date': '11/29/2018, 17:54:45', 'full_text': 'Knowledge is power, but applied knowledge is real power. Help the Dalhousie Commerce and MBA society work together to ensure they can participate in as many experiential learning opportunities as possible! #RoweSchoolofBusiness #ProjectDAL #DalhousieU https://t.co/yjzZCAT91V https://t.co/EEFuoADAKQ'}","{'date': '09/21/2019, 15:49:11', 'full_text': 'Canada needs proportional representation, writes William Cooper #elxn19 #canpoli  https://t.co/LCHkMJcEg3'}"
660,"{'date': '03/13/2018, 23:56:20', 'full_text': 'Congrats! Welcome to the club. Looking forward to September! https://t.co/rwI2Lq4ojG'}","{'date': '11/08/2018, 12:04:46', 'full_text': 'https://t.co/8NXqweUYMg'}","{'date': '11/29/2018, 17:19:40', 'full_text': 'RT @DalPres: Thank you Sheila to the great energy you bring to our fabulous @Dal_Alumni.  Was just saying to @IanBezanson today what a sour…'}","{'date': '09/21/2019, 15:44:47', 'full_text': '“Racism has persisted since the university’s beginning and continues to cast its shadow over the campus today.” https://t.co/f3zCmZVgtS'}"
661,"{'date': '03/13/2018, 21:00:58', 'full_text': 'RT @OceanTracking: Welcome back to @Dalnews @RickMercer! BTW, Blue Rodeo, the young blue shark you tagged with us in 2014 is now living hap…'}","{'date': '11/07/2018, 19:01:02', 'full_text': ""Probably not something you'd see today... https://t.co/1oTcThtIzm""}","{'date': '11/29/2018, 17:19:25', 'full_text': 'RT @DalPres: Thank you Brian for being such a passionate and committed @Dal_Alumni, including your service on the Dal Board of Governors! h…'}","{'date': '09/20/2019, 19:40:25', 'full_text': 'RT @anchalsharma_: I wrote about my fears and disappointment in the wake of Trudeau’s brownface photos for the Fulcrum. I’m very tired of t…'}"
662,"{'date': '03/13/2018, 15:22:49', 'full_text': 'RT @Dalnews: .@rickmercer is on the Studley Quad with students and directing traffic. All sorts of fun being had. @DalPres https://t.co/faD…'}","{'date': '11/07/2018, 16:35:06', 'full_text': ""Check out our great new Scholarship @ Dal Libraries webinar series. This Friday's topic is taking charge of your professional identity. Upcoming sessions are on copyright and author rights, and research data management. Sign up for one (or all!) today. https://t.co/nLxYcm89yR""}","{'date': '11/27/2018, 22:05:08', 'full_text': 'Thanks to the generosity of Dalhousie donors, we have been able to establish a microbursary fund for students, make your gift today at https://t.co/uiLsmQF7t8\nTo Learn more: https://t.co/pRW99s6Yef \n#GivingTuesday #dalhousieU https://t.co/hG31qSFnUf'}","{'date': '09/20/2019, 17:00:11', 'full_text': 'Our new issue is out today and will be online soon. Pick one up! 🗞 https://t.co/JrJoygeKHF'}"
663,"{'date': '03/13/2018, 15:22:38', 'full_text': 'RT @Dalnews: .@rickmercer is on our #Halifax campus today and at @dalplex hanging out with some of our @DalTigers basketball players and th…'}","{'date': '11/07/2018, 15:50:05', 'full_text': 'The Wikipedia Edit-a-thon is in full swing! @DalHealth @DalMedSchool @dalsimnews  #citeNLM2018 https://t.co/47xqMtlDN9'}","{'date': '11/27/2018, 19:00:18', 'full_text': 'Today is #givingtuesday, make an impact on the lives of students at Dalhousie and support our emergency microbursary campaign today!\nTo give: https://t.co/uiLsmQF7t8\nTo Learn more: https://t.co/pRW99s6Yef https://t.co/ssU9YjhtjN'}","{'date': '09/20/2019, 15:25:00', 'full_text': 'RT @DalStudentUnion: 🙋🏻\u200d♀️ VOLUNTEER OPPORTUNITY 🙋🏻\u200d♀️ Come help pack with Dorian Relief Halifax before they ship donations out to the Baha…'}"
664,"{'date': '03/13/2018, 11:59:09', 'full_text': 'RT @BRCHFX: #Brain #Awareness Week is happening next week. Check out the event schedule and come join us. Remember its #MarchBreak for the…'}","{'date': '11/07/2018, 12:15:08', 'full_text': ""Today is the Wikipedia Edit-a-thon with a focus on women's health. There's still time to register and take part. @DalHealth @DalMedSchool @dalsimnews \n https://t.co/TEsxQeDm6C #citeNLM2018""}","{'date': '11/27/2018, 17:25:19', 'full_text': 'RT @FSPADal: Today, is #GivingTuesdayCa! You can lend your support by making a gift to our #DalPeformingArtsCampaign or naming a seat in th…'}","{'date': '09/20/2019, 12:38:31', 'full_text': '😬 https://t.co/e7gQOlJFVL'}"
665,"{'date': '03/13/2018, 11:57:59', 'full_text': 'RT @BRCHFX: A big Thank You to all the Dalhousie Undergraduate Neuroscience Society students who helped out at the Discovery... https://t.c…'}","{'date': '11/06/2018, 16:19:00', 'full_text': 'https://t.co/KwlpQ1i5cp'}","{'date': '11/26/2018, 19:58:35', 'full_text': ""RT @SBAtlantic: Wow! Congrats to #DalhousieU researchers for winning in all four major categories at last week's #DiscoveryAwards! Via @Dal…""}","{'date': '09/20/2019, 12:29:11', 'full_text': 'RT @theeyeopener: We love you, Yusra “Honourary Eye Editor"" Javed https://t.co/NUzXXT1eTp'}"
666,"{'date': '03/13/2018, 02:40:56', 'full_text': 'Scientists have a lot to say. (In three minutes!) #scicomm @DalChemistry @DalMarAffairs https://t.co/K2Jy1rNnWP'}","{'date': '11/06/2018, 15:58:51', 'full_text': 'https://t.co/pNINFKDdvH'}","{'date': '11/26/2018, 13:49:36', 'full_text': 'RT @SchulichLaw: Welcome back @ADLittleToronto! @Dal_Alumni https://t.co/jdyRQ9YY9h'}","{'date': '09/19/2019, 13:11:53', 'full_text': 'Check it out! And before or after, come visit the Gazette at the Society Expo in the Dal quad from 11-3 🥰 https://t.co/5bA5WRmF1m'}"
667,"{'date': '03/13/2018, 01:34:24', 'full_text': 'You won’t want to miss this! https://t.co/6VNvUtQcy0'}","{'date': '11/06/2018, 14:27:50', 'full_text': 'https://t.co/MUMlftQOkl'}","{'date': '11/26/2018, 12:51:20', 'full_text': 'RT @Dalnews: As Dr. Richard Florizone’s time as president and vice-chancellor at #DalhousieU draws to a close, please join us in saying far…'}","{'date': '09/18/2019, 19:01:27', 'full_text': '@adamundefined Unfortunately, no. The editor was focusing on a couple of things to meet the issue 2 deadline, as the storm put a wrench getting certain articles completed. We will definitely ask about those minutes, though! The lack of transparency is problematic. Thank you for the reminder.'}"
668,"{'date': '03/12/2018, 18:32:01', 'full_text': 'It’s Brain Awareness Week! Check out the events taking place at Dal / in Halifax: https://t.co/bmkr2SxVOa  @BRCHFX https://t.co/gLDS5QUaGK'}","{'date': '11/06/2018, 14:10:33', 'full_text': 'Thanks to everyone who donated to the #DalUnited campaign so far! Those who got their donations in by Nov 2 qualified for an incentive prize. Congrats to the winners! @ScrubstheTurtle @UWHalifax @DalPres                 https://t.co/Qz4GnNhI1q'}","{'date': '11/23/2018, 17:45:28', 'full_text': ""RT @Dalnews: There's no party quite like a #Dal200 wrap party! 🎉 Join #DalhousieU on Thursday, Nov. 29 at 4:30pm to celebrate the end of ou…""}","{'date': '09/18/2019, 18:21:05', 'full_text': '@adamundefined Hey Adam, our news editor will be live-tweeting meetings again soon! We don’t do so over the summer. We did cover some DSU issues in our first issue of the year, however. We share the frustration about lack of live streams, which has been the case since last year —RD'}"
669,"{'date': '03/11/2018, 18:43:00', 'full_text': 'Budding scientists like @iz_hurley get a chance to practice research presentation skills at @scienceatlantic conferences every year. Practice makes perfect when learning how to communicate with the many different audiences interested in scientific advancement. #scicomm https://t.co/0Nq4zQElfL'}","{'date': '11/05/2018, 19:10:04', 'full_text': 'https://t.co/5Y73xcfvAf'}","{'date': '11/23/2018, 16:12:41', 'full_text': 'We are so excited to be entering the holiday season at the @MentalHealthNS Festival of Trees event! #MentalHealthAwareness #halifaxevents https://t.co/3aOlWz1kIC'}","{'date': '09/18/2019, 11:44:44', 'full_text': 'ICYMI: \u2066@sarah_moore_1\u2069 and \u2066@SamGillett1\u2069 recapped last weekend’s soccer action https://t.co/zTsxwTUcHY'}"
670,"{'date': '03/10/2018, 21:51:02', 'full_text': 'RT @FinlaysonTrick: Thank you for the great weekend #Crossroads 👩\u200d🔬 Loved catching up with friends from across the country and talking abou…'}","{'date': '11/05/2018, 18:30:27', 'full_text': 'Have you registered for the Wikipedia Edit-a-thon on Nov 7? @dalsimnews \n@DalMedSchool @DalHealth https://t.co/TEsxQeDm6C #citeNLM2018'}","{'date': '11/23/2018, 15:44:40', 'full_text': 'RT @dalfcs: TODAY!! The Institute of Big Data Analytics turns 5 and to celebrate we have a day of events, including a research lecture at 2…'}","{'date': '09/17/2019, 13:12:01', 'full_text': ""RT @dalfacultyassoc: Public Teach-In on Islam &amp; Islamophobia, Tues, Oct 8\nHfx Central Library, 7 pm\nPanelists: Dal's Afua Cooper, Rodica Fi…""}"
