,workatdal,DalMedSchool,dalagriculture,SchulichLaw
0,"{'date': '01/31/2020, 19:45:07', 'full_text': '@workatdal is hiring! We’re looking for an Academic Staff Relations Manager (one-year term). Apply by Feb 10. Details at https://t.co/ResFADZF73 #DalCareers @DalhousieU'}","{'date': '01/29/2020, 13:01:56', 'full_text': '#dalTHANKS is happening today at noon. Swing by and take part in the celebration! https://t.co/wCXLWCeuJG https://t.co/PQ91ugP0CR'}","{'date': '02/01/2020, 14:25:49', 'full_text': ""RT @DalLibraries: Update #3, MacRae Library: It's back to business as usual as all three levels are now open. @dalagriculture @DalSecurity…""}","{'date': '01/31/2020, 18:53:44', 'full_text': 'RT @cmrherder: Wow, really honoured to see that my paper on lifecycle regulation @US_FDA is being read.\n\nHuge thanks to @commonwealthfnd fo…'}"
1,"{'date': '01/31/2020, 17:45:52', 'full_text': 'RT @dalplex: It’s Move More Month! Most people have given up on their resolution to be more active in 2020 but you aren’t most people, righ…'}","{'date': '01/28/2020, 01:15:06', 'full_text': 'Feds fund innovative health research happening at Dal, NSHA and IWK https://t.co/mmtXXPx2Z9'}","{'date': '02/01/2020, 14:25:26', 'full_text': 'RT @carolynvdh: We’re looking for an individual passionate about agriculture to join us!'}","{'date': '01/31/2020, 16:47:36', 'full_text': 'RT @DalLSS: #IDEALaw2020 is tomorrow @SchulichLaw! Check out @IDEALawDal’s Twitter page to learn more about the conference schedule and fea…'}"
2,"{'date': '01/31/2020, 14:35:05', 'full_text': 'RT @DalHRES: Join the Dalhousie community in celebrating the start of African Heritage Month! See you there! https://t.co/v3yDU5pID9'}","{'date': '01/27/2020, 14:35:40', 'full_text': 'RT @DalPres: Thanks to those from \u2066@DalHealth\u2069 \u2066@DalDentistry\u2069 and \u2066@DalMedSchool\u2069 for the bright and early welcome to Carleton Campus this…'}","{'date': '02/01/2020, 14:07:52', 'full_text': ""RT @DrIvanJoseph: There's a new quotient to develop: Gut Intelligence or GQ. When you increase your GQ, you allow your gut to guide you, yo…""}","{'date': '01/31/2020, 15:26:13', 'full_text': 'The Department of Justice has just released the ""State of the Criminal Justice System"" report. Read more: https://t.co/6GAtY9nvOc @DalhousieLSS https://t.co/UNxfytpIlY'}"
3,"{'date': '01/30/2020, 19:30:39', 'full_text': 'Are you looking to introduce a wellness initiative in your #DalhousieU faculty, dept or unit? Apply for a Dal Workplace Wellness Grant, and you could receive up to $5,000 funding. Details &amp; application are on myDal/HR/Health&amp;Wellness. Deadline is Feb 20, 4:30 pm. #DalWorkWell'}","{'date': '01/27/2020, 11:30:11', 'full_text': ""We're excited to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor, to Carleton campus this morning. https://t.co/yVUuNx2zfu""}","{'date': '01/31/2020, 18:57:27', 'full_text': 'Do you have a passion for animals? Thought about making it a career? Join us for an online session to learn more! https://t.co/OuISRyTuWk'}","{'date': '01/31/2020, 15:13:41', 'full_text': 'RT @Dal_Alumni: Looking to connect with #DalAlumni near you? We’re hosting events in a variety of cities - sign up for great company and co…'}"
4,"{'date': '01/30/2020, 13:55:14', 'full_text': '🚩Attention faculty and staff! Volunteers still needed on Feb 4, 5 &amp; 6 for #DalLendAHand to help our friends @TheLoadedLadle to prepare/serve meals. Details at https://t.co/ZcXA9cucw2 https://t.co/xReUJ9efLX'}","{'date': '01/27/2020, 01:33:34', 'full_text': 'RT @DalPres: Looking forward to seeing you in the morning @DalDentistry @DalHealth @DalMedSchool! 🏷 @DalMedDean @brendini5 @DalhousieU http…'}","{'date': '01/31/2020, 15:52:32', 'full_text': 'Hey Grad Students! Registration is now open for Dal’s annual 3 Minute Thesis competition. 🗣⚡️ Contend for $4,000 in cash prizes and help Agriculture take home the #Dal3MT title. Sign up TODAY!👉🏾 https://t.co/87UxE8ldO2 (🏷@DalGradStudies) https://t.co/iVVRojp6Xk'}","{'date': '01/31/2020, 14:07:31', 'full_text': 'RT @HealthLawAtDal: TODAY!! @ 12:30PM: ""Scale Appropriateness in Food Law: Solution for Community Health Disparities?"" w/Catherine L. Mah &amp;…'}"
5,"{'date': '01/29/2020, 19:25:07', 'full_text': 'For #BellLetsTalk Day, take a few moments to be mindful and colour in this marvelous mandala. Life gets busy but taking a mental health moment to check in with yourself is important too! #EveryActionCounts @DalhousieU @DalHRES https://t.co/9imjxyfrDS'}","{'date': '01/24/2020, 19:01:19', 'full_text': ""Don't forget to join us at 8:00 a.m. Monday morning in the Tupper Link to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor. https://t.co/aeD4ld72L0""}","{'date': '01/31/2020, 11:26:43', 'full_text': 'RT @DrIvanJoseph: Failure is part of success, not the opposite of success. Don’t be afraid to fail. It’s part of the journey. #DrIJo'}","{'date': '01/30/2020, 17:34:04', 'full_text': 'Read the latest from @jgdownie and the Halifax Group - ""MAiD Legislation at a Crossroads: Persons with Mental Disorders as Their Sole Underlying Medical Condition"" in @irpp - https://t.co/P6IYBUNsac'}"
6,"{'date': '01/29/2020, 17:40:08', 'full_text': '#DalThrive is a university-wide mental wellness initiative aimed at building a positive mental health environment for our community. https://t.co/XxdcwZd9FD @DalhousieU @DalHRES #BellLetsTalk #endstigma https://t.co/CyFt8oV1dW'}","{'date': '01/23/2020, 12:51:39', 'full_text': 'Registration is now open for Dal’s annual 3 Minute Thesis competition. Contend for $4,000 in cash prizes and help Medicine take home the #Dal3MT title. Sign up today: https://t.co/f7tH2qO2OO https://t.co/E6CI9A1bQa'}","{'date': '01/31/2020, 11:26:31', 'full_text': 'RT @DalBookstore: Please note: Tomorrow is the last Friday of the month and your last opportunity to return any textbooks without needing a…'}","{'date': '01/30/2020, 16:30:18', 'full_text': 'RT @DalhousieLJ: Our latest blog: https://t.co/zmicOAn40z @ResourcesLaw @SchulichLaw'}"
7,"{'date': '01/29/2020, 16:20:16', 'full_text': '@workatdal is hiring! We’re looking for an Academic Staff Relations Manager (one-year term). Apply by Feb 10. Details at https://t.co/ResFADZF73 #DalCareers @DalhousieU'}","{'date': '01/22/2020, 19:29:25', 'full_text': 'Join us on January 27th in the Tupper Link to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor https://t.co/tfCrqDDKwJ'}","{'date': '01/30/2020, 17:19:57', 'full_text': 'RT @DalhousieU: Fill out the Campus Sustainability and Commuter Survey before February 14th, and you could win one of five $100 gift cards…'}","{'date': '01/30/2020, 15:48:27', 'full_text': '@Sara_G_Ross @DalhousieU Happy to have you join us!'}"
8,"{'date': '01/29/2020, 15:02:03', 'full_text': ""Today is #BellLetsTalkDay! Learn more about Dal's Employee &amp; Family Assistance Program (EFAP) and what's available to faculty &amp; staff for mental health support/resources. Watch this video: https://t.co/6wcc9wAGtR""}","{'date': '01/22/2020, 17:19:07', 'full_text': 'Dr. OmiSoore Dryden is hiring a #ResearchAssistant: https://t.co/BmEwmByEIk'}","{'date': '01/30/2020, 14:55:16', 'full_text': 'RT @DalLibraries: UPDATE, MACRAE LIBRARY: The Student Learning Commons ONLY will reopen at 12 p.m. Middle and lower floors remain closed as…'}","{'date': '01/30/2020, 15:48:02', 'full_text': '@LMcHugh_Russell Look forward to welcoming you!'}"
9,"{'date': '01/29/2020, 14:45:14', 'full_text': 'RT @Bell_LetsTalk: Today is Bell Let’s Talk Day. For every view of this video 👇, Bell will donate 5¢ towards Canadian mental health initiat…'}","{'date': '01/21/2020, 11:48:23', 'full_text': 'RT @dal_pgdean: Big thanks to @DalMedSchool PDs for accommodating @MUNMed students in @CaRMS_CA interviews today. YYZ  closed until Wed am…'}","{'date': '01/30/2020, 13:42:54', 'full_text': ""#TBT  The Women's Institute of Nova Scotia used to occupy this building now used by Friends of the Garden and is also the site of our new Outdoor Classroom. https://t.co/AQXNO9Dm3G""}","{'date': '01/29/2020, 19:15:04', 'full_text': ""Wise words from former President Barack Obama for #BellLetsTalk Day. If you're struggling, please reach out. @DalhousieLSS https://t.co/vq1cZn7xM9""}"
10,"{'date': '01/29/2020, 14:29:19', 'full_text': 'RT @SeamusORegan: Asking for help could be the bravest thing that you do in your life. #BellLetsTalk https://t.co/BuCOJkzJe3'}","{'date': '01/21/2020, 11:48:09', 'full_text': 'RT @DalMedDean: Dr Richard Kogan spoke of &amp; performed George Gershwin at TJ Murray Humanities Lecture \u2066@DalMedSchool\u2069. Outstanding event. T…'}","{'date': '01/30/2020, 12:02:25', 'full_text': 'RT @DrIvanJoseph: The road to success and the road to failure are almost exactly the same. - Colin R. Davis https://t.co/kOJW2WVA5i'}","{'date': '01/29/2020, 18:38:07', 'full_text': 'RT @ukings: Looking forward to this interdisciplinary conference @SchulichLaw this Saturday, which will explore how the media, the law, and…'}"
11,"{'date': '01/29/2020, 13:00:49', 'full_text': 'Jan 29 is #BellLetsTalkDay! Today, Bell will donate 5 cents from every applicable action on Twitter, Facebook, Instagram, Snapchat, YouTube, text messages &amp; mobile &amp; long distance calls, to mental health initiatives in Canada. #endstigma @DalhousieU https://t.co/YSX6ZVJ7YZ'}","{'date': '01/20/2020, 18:18:10', 'full_text': 'Join us on January 27th in the Tupper Link to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor. https://t.co/t8pLSGxL8K'}","{'date': '01/30/2020, 02:35:10', 'full_text': 'RT @DrIvanJoseph: Surround yourself with people who support you and believe in you. Cut out negative people from your circle of influence.…'}","{'date': '01/29/2020, 17:55:57', 'full_text': ""RT @DalGradStudies: Thinking of entering this year's 3 Minute Thesis competition? Come out and learn from the best at our upcoming panel ev…""}"
12,"{'date': '01/28/2020, 20:15:11', 'full_text': ""Interested in joining the @workatdal team? We're hiring a HR Consultant (two-year term). Apply by Feb 11. Details at https://t.co/nHBc52hTzr #DalCareers @DalhousieU""}","{'date': '01/20/2020, 17:06:35', 'full_text': 'RT @MCraigMcCormick: Looking forward to a visit from our next Dalhousie I3V seminar series speaker, Dr. Eve Dube @DubeEve to learn about va…'}","{'date': '01/29/2020, 14:42:36', 'full_text': 'Did someone say cookies? Join us in the SLC today at noon for cookies as we sign a card to say #dalTHANKS to all of our wonderful donors. See you there! https://t.co/91lcmrYREu'}","{'date': '01/29/2020, 17:55:15', 'full_text': ""RT @DalhousieU: It's #BellLetsTalk Day! Here are 5 simple ways to help end the stigma that keeps too many who struggle with mental illness…""}"
13,"{'date': '01/28/2020, 17:55:07', 'full_text': ""Tomorrow is #BellLetsTalk Day! Let's start a conversation with five simple ways - language matters, educate yourself, be kind, listen &amp; ask, and talk about it. https://t.co/66i5UkAAeg @DalhousieU @DalPres @DalHRES https://t.co/IaVG7R49hh""}","{'date': '01/17/2020, 13:00:54', 'full_text': 'RT @TanyaLDutton: Simulated patient educator position at Dal posted until Jan 21st!  https://t.co/bZTRUru87s.    @DalHealth @DalMedSchool'}","{'date': '01/29/2020, 13:02:18', 'full_text': ""RT @DalhousieU: It's #BellLetsTalk Day! Here are 5 simple ways to help end the stigma that keeps too many who struggle with mental illness…""}","{'date': '01/29/2020, 17:55:06', 'full_text': 'RT @Bell_LetsTalk: Today is Bell Let’s Talk Day. For every view of this video 👇, Bell will donate 5¢ towards Canadian mental health initiat…'}"
14,"{'date': '01/28/2020, 16:58:55', 'full_text': 'RT @DalhousieU: Join us at @dalagriculture TODAY for a welcome reception for Dr. Deep Saini, #DalhousieU’s 12th president and vice-chancell…'}","{'date': '01/15/2020, 17:53:04', 'full_text': 'RT @Dal_IHIM: IHIG is having their first meeting of the semester Monday! Anyone is welcome. https://t.co/T2qtIjVWMl'}","{'date': '01/29/2020, 12:11:10', 'full_text': ""RT @Limpetman: You are not alone. Let's talk...today, tomorrow, every day! Let's end the stigma once and for all! #BellLetsTalk""}","{'date': '01/29/2020, 17:54:53', 'full_text': ""RT @laura_woodworth: It's time for the annual #BellLetsTalk #DogPics thread! Please reply with a picture of a cute doggo with the #BellLets…""}"
15,"{'date': '01/28/2020, 16:03:30', 'full_text': 'RT @Bell_LetsTalk: We’ve kicked off our 10th annual #BellLetsTalk Day campaign! Our theme in 2020 is Mental Health: Every Action Counts and…'}","{'date': '01/14/2020, 19:00:51', 'full_text': 'RT @Doctors_NS: Calling all med students, residents and early-career physicians! Join the CMA Ambassador Program before Feb. 7 for a chance…'}","{'date': '01/29/2020, 11:28:28', 'full_text': ""RT @DrIvanJoseph: Fixed Mindset: I'm either good at it or I'm not.\nGrowth Mindset: I can learn to do anything I want. \nhttps://t.co/Rdcf5YM…""}","{'date': '01/28/2020, 18:38:06', 'full_text': 'RT @InformedOps: The ability to report sexual misconduct against #healthcare providers just became harder in Cape Breton, @SchulichLaw prof…'}"
16,"{'date': '01/27/2020, 17:39:10', 'full_text': 'RT @OfficeofANSA: During #AfricanHeritageMonth, the recently released memoir entitled ""An Honourable Life"" by Former Lieutenant Governor Ma…'}","{'date': '01/14/2020, 18:21:15', 'full_text': ""RT @DalhousieU: #DalhousieU's annual contest of brains and brevity is set to take place this March, with all grad students encouraged to co…""}","{'date': '01/29/2020, 11:27:11', 'full_text': 'RT @memacinnis: It was great meeting you, @DalPres, today and to welcome you to the MacRae Library @DalLibraries. Really looking forward to…'}","{'date': '01/28/2020, 17:34:07', 'full_text': ""Toronto alumni - we hope you'll join us on February 6 for a pub night! Visit our event page for details and registration: https://t.co/ufrgGmDySW https://t.co/srOl0vbFdw""}"
17,"{'date': '01/27/2020, 13:52:21', 'full_text': 'RT @DalTigers: #BellLetsTalk Day is only 2 days away! When it comes to mental health, every action counts.Get the dialogue started by downl…'}","{'date': '01/14/2020, 15:04:15', 'full_text': 'RT @DalGradStudies: Register now for 3MT, the annual graduate student battle of brains 🧠 and brevity! Sign up and learn more here: https://…'}","{'date': '01/29/2020, 11:26:35', 'full_text': 'RT @Maritime_Beef: A unique opportunity here to learn and create a plan to build a herd that will work for you! @grassncows is our Speaker…'}","{'date': '01/28/2020, 16:30:21', 'full_text': 'London alumni - we hope to see you at our wine tasting on February 13! Visit our event page for details and registration: https://t.co/T8A3sDXKQj @Dal_Alumni https://t.co/aZhrTUnJRT'}"
18,"{'date': '01/27/2020, 13:46:13', 'full_text': 'RT @DalHealth: It was such a pleasure to welcome Dr. Deep Saini, our new @dalpres, on our Carleton campus today!\n\nDr. Saini talked about ho…'}","{'date': '01/13/2020, 18:43:58', 'full_text': 'RT @dal_pgdean: Christine SilverSmith is retiring after more than 20 years @DalMedSchool PGME! Come celebrate with us 3-5pm, Jan 15 at LSRI…'}","{'date': '01/29/2020, 11:20:18', 'full_text': 'RT @Bell_LetsTalk: Today is Bell Let’s Talk Day. For every view of this video 👇, Bell will donate 5¢ towards Canadian mental health initiat…'}","{'date': '01/28/2020, 15:26:08', 'full_text': ""We're pleased to announce that starting in 2021, Schulich Law students can earn a Criminal Justice Certificate along with their JD. Learn more: https://t.co/E0Lv9gwxg4 @DalhousieLSS @DalhousieU @adelina_iftene @DalLjso https://t.co/fx4GfnNt8s""}"
19,"{'date': '01/24/2020, 19:35:06', 'full_text': 'Faculty &amp; staff are invited to attend an upcoming @DalCCE workshop, ""Fostering Inclusive Personal and Team Communications in Workplace Cultures"" on Jan 28, 9 am - 1 pm. Details at: https://t.co/Dw4OVg7DmV @DalhousieU'}","{'date': '01/13/2020, 15:05:54', 'full_text': 'RT @Royal_College: Implementing Competence by Design in a surgical discipline? Here’s some advice from @DalMedSchool’s Dr. David Horne: htt…'}","{'date': '01/29/2020, 00:52:59', 'full_text': 'RT @teribalser: Welcome event for fellow @dalagriculture academic, and new @DalhousieU President, @DalPres. Great turnout and so much posit…'}","{'date': '01/27/2020, 19:00:41', 'full_text': '29 JAN | 7PM Jacqueline Walsh, Director of our new @SM_Law Technology &amp; Innovation Law Clinic will be speaking at our latest Mini Law on ""The Future of the Legal Profession."" Learn more about Jacqui, and her plans for the TILC: https://t.co/IWccBtolkZ @NSBS @CdnTechLaw https://t.co/AUzxrpD3L1'}"
20,"{'date': '01/24/2020, 17:13:33', 'full_text': ""RT @DalStudentLife: Have you met #DalhousieU's new president, Dr. Deep Saini? Come out to a reception on Monday, January 27 from 8-9 am at…""}","{'date': '01/13/2020, 14:06:16', 'full_text': 'RT @DalGlobalHealth: Have you been doing work related to global health? The Global Health awards were established to recognize outstanding…'}","{'date': '01/29/2020, 00:04:00', 'full_text': 'Join us tomorrow in the Student Learning Commons at noon to sign a card and have some cookies! https://t.co/pozBEPewYM'}","{'date': '01/27/2020, 18:38:01', 'full_text': 'RT @IRPP: Responding effectively to sexualized violence is a non-partisan issue. @ElaineCraigDal outlines steps this minority Parliament ca…'}"
21,"{'date': '01/24/2020, 16:20:17', 'full_text': ""We're still looking for #DalhousieU faculty &amp; staff to volunteer at our Lend a Hand event on Feb 4, 5 &amp; 6, to help our friends @TheLoadedLadle prepare/serve meals. Details at\nhttps://t.co/adtGZeg2v4 #DalLendAHand 👐🥣 https://t.co/Q6exqm0G4a""}","{'date': '01/09/2020, 18:48:20', 'full_text': 'RT @DalLibraries: If you use BMJ Practice or some of their other websites, please note that some of them  will be inaccessible for eight ho…'}","{'date': '01/28/2020, 19:44:37', 'full_text': 'Join us tomorrow in the Student Learning Commons at noon to sign a card and have some cookies! https://t.co/oNiCdrpFxw'}","{'date': '01/27/2020, 17:34:05', 'full_text': 'RT @HealthLawAtDal: Join us this Friday @ 12:30PM: ""Scale Appropriateness in Food Law: Solution for Community Health Disparities?"" w/Cather…'}"
22,"{'date': '01/23/2020, 17:31:54', 'full_text': 'RT @DalManagement: Join newcomers and the emerging local entrepreneurial community on Saturday, February 1, 5-9 pm for a craft and food mar…'}","{'date': '01/09/2020, 16:35:54', 'full_text': ""RT @DalCrossroads: TOMORROW is the last day to submit your abstracts for #DalCrossroads2020, get your's in by midnight! Don't forget we're…""}","{'date': '01/28/2020, 13:38:38', 'full_text': ""RT @DalGradStudies: Here's your daily 3MT motivation, courtesy of 2019 finalist Gurkaran Chowdhry from @DalPhysAtmosSci. Learn more and reg…""}","{'date': '01/27/2020, 16:30:19', 'full_text': 'RT @DalhousieLJ: Our latest blog! #weekendreading @NaiomiMetallic @Hadleylf  @SchulichLaw https://t.co/3vqTK4V12F'}"
23,"{'date': '01/23/2020, 15:23:38', 'full_text': 'RT @DalhousieU: Kick-off African Heritage Month with @DalBSAC at an evening of empowerment with @Reneehortonphd! ✨ https://t.co/YwNGtRMOiq'}","{'date': '01/07/2020, 17:29:19', 'full_text': 'RT @DalhousieU: Congratulations to medical trailblazer and #DalhousieU faculty member Dr. Noni MacDonald, who was named to the #OrderofCana…'}","{'date': '01/28/2020, 12:06:37', 'full_text': 'RT @DrIvanJoseph: ""Everything negative - pressure, challenges - is all an opportunity for me to rise."" - Kobe Bryant'}","{'date': '01/27/2020, 15:26:09', 'full_text': 'RT @NSBS: The Society’s Equity and Access Manager Angela Simmonds helped to facilitate this moot court with law co-op students held at @Sch…'}"
24,"{'date': '01/22/2020, 15:40:08', 'full_text': ""Interested in joining @workatdal? We're currently recruiting for:\n\n➡️ Payroll Assistant, Facilities Management\n➡️ Pediatric Cardiologist, Faculty, Medicine\n➡️ Prospect Research Analyst, Advancement\n\n&amp; more at https://t.co/gwiMyC0ffC https://t.co/CBzn1d3iow""}","{'date': '01/03/2020, 13:56:12', 'full_text': 'RT @CIHR_IRSC: Please join us in welcoming @DrCChambers who started her first term as Scientific Director of CIHR-IHDCYH on January 1st, an…'}","{'date': '01/28/2020, 01:13:53', 'full_text': 'RT @DalhousieU: Do you dream of studying abroad? Apply by January 31st: https://t.co/x9FUrs1IEV 🌍 https://t.co/2S9piG5B0R'}","{'date': '01/24/2020, 19:55:11', 'full_text': 'RT @DanaLyn_Dal: Pop by the student lounge @SchulichLaw for an encourage-mint! Aspirational quotes + mints for those midwinter moments when…'}"
25,"{'date': '01/22/2020, 14:36:25', 'full_text': 'RT @DalPres: Looking forward to meeting @DalEngineering and @DalArchPlan students, faculty and staff tomorrow. https://t.co/ys1glJeP3J'}","{'date': '01/03/2020, 12:42:54', 'full_text': 'RT @JRJCHAIR: Join me for the first #ChairChat of 2020! #Jan23 #WheresTheChair Bring a Friend #BlackMedStudents #BlackGradStudents #MedEd #…'}","{'date': '01/27/2020, 21:05:41', 'full_text': 'RT @DalPres: Join me tomorrow on our @dalagriculture Campus! https://t.co/zD5MhuUny6'}","{'date': '01/24/2020, 18:38:04', 'full_text': 'RT @CourtsNS_News: Your name could be on this wall one day! Apply before March 6 for a chance to clerk at the NS Court of Appeal in 2020/21…'}"
26,"{'date': '01/21/2020, 15:36:59', 'full_text': 'RT @DalhousieU: ""Mom worked hard, supported me, took good care of me, really pushed me to be what I wanted to be."" #WeAreDal 52 weeks. 52 s…'}","{'date': '01/02/2020, 12:51:11', 'full_text': ""RT @Dal_Psychiatry: Are you a @DalMedSchool student? We're sponsoring one student to attend the PsychSIGN National Conference! Apply by Jan…""}","{'date': '01/27/2020, 20:43:26', 'full_text': 'RT @mccallumrobyn: Registration is now open for the Modern Beekeeper course held at @ExL_DalAC @dalagriculture !\nJoin us for 4 modules focu…'}","{'date': '01/24/2020, 15:26:14', 'full_text': '#SchulichLaw grad students - time to represent! Enter the @DalGradStudies 3MT competition and make us #WeldonProud. Deadline to enter is Feb. 21. Learn more: https://t.co/DPDl6RYQuz @DalhousieLSS https://t.co/SySERQ2Ksl'}"
27,"{'date': '01/20/2020, 16:29:49', 'full_text': 'Join @DalBSAC tonight from 6-8pm at the DSU Council Chambers 2nd floor of DSU building for The Legacy of MLK: Peacemaking &amp; Justice Making in a Time of Trouble. Details at: https://t.co/I6VuGM1fHk https://t.co/OwnihE3U3N'}","{'date': '12/19/2019, 15:53:42', 'full_text': 'RT @burge_fred: So excited to see this event in my calendar. Patients, students, healthcare providers, decision-makers and researchers....…'}","{'date': '01/27/2020, 18:29:30', 'full_text': ""Lots of great activities coming up for faculty and students alike. Mark your calendars and don't miss a thing! https://t.co/IvbMwGzRQs""}","{'date': '01/23/2020, 18:17:36', 'full_text': 'RT @IRPP: The podcast is live! @jgdownie and Mona Gupta discuss the issues raised by changes to the eligibility criteria for medical assist…'}"
28,"{'date': '01/20/2020, 15:40:09', 'full_text': ""In the spirit of #DalhousieU Munro Day, we're looking for faculty &amp; staff to volunteer preparing/giving out meals @TheLoadedLadle on Feb 4, 5 &amp; 6, 9 a.m. - 2 p.m. You can show up anytime for 30 min or an hour to lend a hand! Details at https://t.co/BSxy2T5FYK #DalLendAHand https://t.co/0CX9YJ7lqb""}","{'date': '12/18/2019, 18:55:33', 'full_text': 'RT @dal_pgdean: Big welcome to Shane LeBlanc, incoming Director (Jan 20) of @DalMedSchool PGME. Big thanks to Christine Silver Smith - reti…'}","{'date': '01/27/2020, 14:14:37', 'full_text': 'DYK: Dr. Saini studied botany at Punjab Agricultural University in India before moving to Australia to complete a PhD in Plant Physiology at the University of Adelaide? Learn more this week at our Aggie Welcome session! https://t.co/Yi6vY3LFfP'}","{'date': '01/23/2020, 17:19:24', 'full_text': 'Amazing work! Congrats! 🎉👏💯#WeldonProud @kbrooks_taxlaw @DalLSS https://t.co/psA2XlmOXS'}"
29,"{'date': '01/17/2020, 17:47:38', 'full_text': 'RT @DalPres: Humbled by the turnout at today’s welcome reception. Looking forward to events on Sexton, Carleton and @dalagriculture in the…'}","{'date': '12/18/2019, 12:46:12', 'full_text': 'In the latest DMJ, authors investigate the rise of medical social media influencers; explore the history of the Dalhousie Medical Students Society; evaluate medical student simulation programs; &amp; review current literature on COPD, glaucoma &amp; anorexia: https://t.co/c4157IHC6G. https://t.co/ZHfQm5eChZ'}","{'date': '01/27/2020, 14:02:32', 'full_text': 'RT @VHsweetpotatoes: Andy Vermeulan speaking on changes in Ag:\n\n‘My father started his farming career behind a horse, my son - a tractor th…'}","{'date': '01/23/2020, 16:30:20', 'full_text': 'RT @CourtsNS_News: The NS Court of Appeal has approved an amendment to Rule 91 of the Civil Procedure Rules. Go to https://t.co/xVzI2lpHXO…'}"
30,"{'date': '01/15/2020, 15:14:24', 'full_text': ""RT @DalhousieU: You're invited to help us welcome our new @Dalpres! For a full schedule of welcome events: https://t.co/3k4F70gku9 https://…""}","{'date': '12/18/2019, 12:15:19', 'full_text': 'RT @DalhousieU: DNA testing kits will be a popular gift this holiday season. Before mailing off your saliva, it’s important to understand w…'}","{'date': '01/27/2020, 13:13:07', 'full_text': 'Harlow building OPEN, Collins Building closed on Ag Campus https://t.co/aiEuP8qIh7'}","{'date': '01/23/2020, 15:26:11', 'full_text': 'RT @HRCECBL: What a great way to wrap up the Law co-op placement with a moot court!  So impressed with these students! Thankful for our par…'}"
31,"{'date': '01/15/2020, 15:13:57', 'full_text': 'RT @DalPres: Greetings @dalhousieu and our community! Thank you for the warm welcome and kind words from so many of you – our faculty, staf…'}","{'date': '12/13/2019, 18:06:54', 'full_text': 'RT @DalVPR: @DalhousieU represented @CIHR_IRSC Strategic Planning Day and welcoming @JeannieShovell1 to our ranks. @DrEmilyMarshall @DrCCha…'}","{'date': '01/27/2020, 11:27:39', 'full_text': 'RT @DalhousieU: Harlow and Collins Buildings closed today on Ag Campus https://t.co/G94gCmMcXM'}","{'date': '01/23/2020, 14:56:47', 'full_text': 'RT @DalVPR: #DalProud of Dr. Downie and her research that tackles difficult problems with game changing ideas. @SchulichLaw @DalMedDean htt…'}"
32,"{'date': '01/14/2020, 19:15:08', 'full_text': 'On Thurs. Jan 16, join @DalFoodServices for their annual open house event where #DalhousieU faculty &amp; staff can try the campus dining halls at a one-time introductory price of $7. Sign up at https://t.co/BI1Kk7VDxv'}","{'date': '12/06/2019, 14:47:20', 'full_text': 'RT @Dal_Psychiatry: Canadian medical students and residents are invited to submit reflective essays, poetry or short fiction that explore t…'}","{'date': '01/27/2020, 10:59:49', 'full_text': 'Harlow and Collins Buildings closed today on Ag Campus https://t.co/MBLsHc9vsK'}","{'date': '01/23/2020, 14:25:01', 'full_text': 'RT @DalhousieU: #DalhousieU researchers are helping to solve some of the most complex global issues facing humankind. For Dr. Jocelyn Downi…'}"
33,"{'date': '01/13/2020, 16:33:27', 'full_text': 'RT @DalStudentUnion: 💉 Visit the SUB McInnis room Jan 15th through 17th to participate in the upcoming blood donation drive! 💉  Visit https…'}","{'date': '12/05/2019, 15:02:17', 'full_text': 'RT @LBeachBiochem: Excellent start to the GENETICS IN MEDICINE Conference at Dalhousie today. Technology, strategies, Sequencing, Precision…'}","{'date': '01/26/2020, 02:28:50', 'full_text': 'RT @Limpetman: Wonderful to celebrate Lunar New Year on campus with our Chinese students and the local community #YearOfTheRat https://t.co…'}","{'date': '01/22/2020, 20:25:01', 'full_text': 'Represent! 👌💯 #WeldonProud @Dal_Alumni https://t.co/5pecX4Ekdd'}"
34,"{'date': '01/13/2020, 15:18:57', 'full_text': 'RT @UWHalifax: Providing free transit for children 0-12 makes life easier for families living on a low income, and helps encourage transit…'}","{'date': '12/05/2019, 13:24:38', 'full_text': 'Newly appointed @dmrf1979 CEO, @joannebath welcoming those in attendance. https://t.co/Z09wjFAFSP'}","{'date': '01/25/2020, 13:41:21', 'full_text': 'RT @DalhousieU: Our best wishes to all who are celebrating the #LunarNewYear!\nhttps://t.co/dmmcEht9Fe'}","{'date': '01/22/2020, 15:26:13', 'full_text': 'RT @LencznerSlaght: Stop by and chat with Jenn Power and our incoming 2020/2021 articling student, @Drew_FB, at @SchulichLaw’s Career Fair…'}"
